Metric,SPY,Strategy
Risk-Free Rate,0.15%,0.15%
Time in Market,69.0%,4.0%
,,
Total Return,189%,46%
CAGR% (Annual Return),6.1%,2.15%
,,
Sharpe,0.39,0.35
RoMaD,0.11,0.09
Corr to Benchmark,1.0,-0.06
Prob. Sharpe Ratio,93.95%,92.12%
Smart Sharpe,0.39,0.35
Sortino,0.55,0.51
Smart Sortino,0.55,0.5
Sortino/√2,0.39,0.36
Smart Sortino/√2,0.39,0.36
Omega,1.37,1.37
,,
Max Drawdown,-55.21%,-24.13%
Longest DD Days,2406,1736
Volatility (ann.),20.19%,6.22%
R^2,0.0,0.0
Information Ratio,-0.01,-0.01
Calmar,0.11,0.09
Skew,0.22,-1.72
Kurtosis,15.8,321.96
,,
Expected Daily%,0.02%,0.01%
Expected Monthly%,0.49%,0.18%
Expected Yearly%,6.07%,2.14%
Daily Value-at-Risk,-1.72%,-0.53%
Expected Shortfall (cVaR),-1.72%,-0.53%
,,
MTD,-0.71%,-1.74%
3M,10.15%,6.84%
6M,1.42%,-1.9%
YTD,2.3%,-1.08%
1Y,1.29%,-1.08%
3Y (ann.),13.81%,8.37%
5Y (ann.),12.38%,6.48%
10Y (ann.),7.35%,3.49%
All-time (ann.),6.1%,2.15%
,,
Best Day,14.52%,8.45%
Worst Day,-9.84%,-10.35%
Best Month,13.48%,8.45%
Worst Month,-16.52%,-10.35%
Best Year,32.32%,16.84%
Worst Year,-36.81%,-20.21%
,,
Avg. Drawdown,-2.49%,-2.71%
Avg. Drawdown Days,44,213
Recovery Factor,2.58,1.72
Ulcer Index,0.19,0.06
Serenity Index,0.23,0.18
,,
Avg. Up Month,3.53%,1.27%
Avg. Down Month,-4.54%,-1.35%
Win Days,3523.58,3876.78
Loss Days,3020.42,2667.22
Win Days%,53.84%,59.24%
Win Month%,59.26%,59.13%
Win Quarter%,66.67%,63.89%
Win Year%,77.78%,72.22%
,,
Beta,-,-0.02
Alpha,-,0.02
Correlation,-,-6.16%
Treynor Ratio,-,-2432.58%
