time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
1998-01-02 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
1998-01-02 09:30:00-05:00,buy,fill,3.4872098900555994,SPY,stock,,0.0,,97.3125,market,1,0.0
1998-02-02 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
1998-02-02 09:30:00-05:00,buy,fill,3.544466591543938,SPY,stock,,0.0,,99.90625,market,1,0.0
1998-03-05 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
1998-03-05 09:30:00-05:00,buy,fill,3.3568883211927782,SPY,stock,,0.0,,103.5,market,1,0.0
1998-05-06 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
1998-05-06 10:30:00-04:00,buy,fill,3.144039799168896,SPY,stock,,0.0,,112.125,market,1,0.0
1998-07-07 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
1998-07-07 10:30:00-04:00,buy,fill,2.9886860146362593,SPY,stock,,0.0,,115.984375,market,1,0.0
1998-08-07 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
1998-08-07 10:30:00-04:00,buy,fill,3.514663589452017,SPY,stock,,0.0,,109.6875,market,1,0.0
1998-10-08 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
1998-10-08 10:30:00-04:00,buy,fill,4.714402606207252,SPY,stock,,0.0,,94.5625,market,1,0.0
1998-12-09 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
1998-12-09 09:30:00-05:00,buy,fill,3.3825722601004453,SPY,stock,,0.0,,118.6875,market,1,0.0
1999-02-09 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
1999-02-09 09:30:00-05:00,buy,fill,3.0994060739385176,SPY,stock,,0.0,,124.375,market,1,0.0
1999-03-12 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
1999-03-12 09:30:00-05:00,buy,fill,2.928062281987766,SPY,stock,,0.0,,131.0,market,1,0.0
1999-04-12 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
1999-04-12 10:30:00-04:00,buy,fill,2.740777902017983,SPY,stock,,0.0,,133.46875,market,1,0.0
1999-05-13 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
1999-05-13 10:30:00-04:00,buy,fill,2.77048077799074,SPY,stock,,0.0,,137.25,market,1,0.0
1999-07-14 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
1999-07-14 10:30:00-04:00,buy,fill,2.7124095416778347,SPY,stock,,0.0,,140.0,market,1,0.0
1999-09-14 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
1999-09-14 10:30:00-04:00,buy,fill,3.3029196726115964,SPY,stock,,0.0,,134.0625,market,1,0.0
1999-10-15 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
1999-10-15 10:30:00-04:00,buy,fill,3.6055653089091213,SPY,stock,,0.0,,126.0,market,1,0.0
1999-11-15 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
