time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2015-01-02 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2015-01-02 09:30:00-05:00,buy,fill,2.096140430383503,SPY,stock,,0.0,,206.3800048828125,market,1,0.0
2015-02-02 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2015-02-02 09:30:00-05:00,buy,fill,2.1759568949927273,SPY,stock,,0.0,,200.0500030517578,market,1,0.0
2015-03-05 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2015-03-05 09:30:00-05:00,buy,fill,2.032876938843063,SPY,stock,,0.0,,210.6199951171875,market,1,0.0
2015-05-06 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2015-05-06 10:30:00-04:00,buy,fill,2.150022089486238,SPY,stock,,0.0,,209.55999755859375,market,1,0.0
2015-07-07 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2015-07-07 10:30:00-04:00,buy,fill,2.1884729039561153,SPY,stock,,0.0,,206.9600067138672,market,1,0.0
2015-08-07 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2015-08-07 10:30:00-04:00,buy,fill,2.2287319244938804,SPY,stock,,0.0,,208.16000366210938,market,1,0.0
2015-10-08 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2015-10-08 10:30:00-04:00,buy,fill,2.4279931414935683,SPY,stock,,0.0,,198.9499969482422,market,1,0.0
2015-12-09 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2015-12-09 09:30:00-05:00,buy,fill,2.357305756486208,SPY,stock,,0.0,,206.19000244140625,market,1,0.0
