time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2015-01-02 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2015-01-02 09:30:00-05:00,buy,fill,2.252125317496921,SPY,stock,,0.0,,206.3800048828125,market,1,0.0
2015-02-02 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2015-02-02 09:30:00-05:00,buy,fill,2.327339675675212,SPY,stock,,0.0,,200.0500030517578,market,1,0.0
2015-03-05 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2015-03-05 09:30:00-05:00,buy,fill,2.207486608636263,SPY,stock,,0.0,,210.6199951171875,market,1,0.0
2015-05-06 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2015-05-06 10:30:00-04:00,buy,fill,2.2234159502779707,SPY,stock,,0.0,,209.55999755859375,market,1,0.0
2015-07-07 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2015-07-07 10:30:00-04:00,buy,fill,2.3510585402363593,SPY,stock,,0.0,,206.9600067138672,market,1,0.0
2015-08-07 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2015-08-07 10:30:00-04:00,buy,fill,2.2692587388049406,SPY,stock,,0.0,,208.16000366210938,market,1,0.0
2015-10-08 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2015-10-08 10:30:00-04:00,buy,fill,2.4862042406028406,SPY,stock,,0.0,,198.9499969482422,market,1,0.0
2015-12-09 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2015-12-09 09:30:00-05:00,buy,fill,2.4126725087723804,SPY,stock,,0.0,,206.19000244140625,market,1,0.0
