Metric,SPY,Strategy
Risk-Free Rate,0.01%,0.01%
Time in Market,70.0%,6.0%
,,
Total Return,5%,10%
CAGR% (Annual Return),5.97%,10.73%
,,
Sharpe,0.45,2.28
RoMaD,0.5,7.0
Corr to Benchmark,1.0,0.11
Prob. Sharpe Ratio,66.61%,99.82%
Smart Sharpe,0.36,1.79
Sortino,0.64,6.06
Smart Sortino,0.5,4.77
Sortino/√2,0.45,4.29
Smart Sortino/√2,0.36,3.37
Omega,4.78,4.78
,,
Max Drawdown,-11.91%,-1.53%
Longest DD Days,163,308
Volatility (ann.),15.32%,4.49%
R^2,0.01,0.01
Information Ratio,0.01,0.01
Calmar,0.5,7.0
Skew,-0.33,5.5
Kurtosis,5.05,62.61
,,
Expected Daily%,0.02%,0.03%
Expected Monthly%,0.44%,0.78%
Expected Yearly%,5.43%,9.74%
Daily Value-at-Risk,-1.3%,-0.36%
Expected Shortfall (cVaR),-1.3%,-0.36%
,,
MTD,-0.71%,0.0%
3M,10.15%,0.0%
6M,1.42%,0.0%
YTD,5.43%,9.74%
1Y,5.43%,9.74%
3Y (ann.),5.97%,10.73%
5Y (ann.),5.97%,10.73%
10Y (ann.),5.97%,10.73%
All-time (ann.),5.97%,10.73%
,,
Best Day,3.84%,2.68%
Worst Day,-4.21%,-1.53%
Best Month,9.79%,9.74%
Worst Month,-6.1%,0.0%
Best Year,5.43%,9.74%
Worst Year,5.43%,9.74%
,,
Avg. Drawdown,-2.27%,-0.82%
Avg. Drawdown Days,30,105
Recovery Factor,0.53,6.12
Ulcer Index,0.04,0.01
Serenity Index,0.21,3.1
,,
Avg. Up Month,3.11%,4.87%
Avg. Down Month,-,-
Win Days,163.39,250.5
Loss Days,170.61,83.5
Win Days%,48.92%,75.0%
Win Month%,50.0%,100.0%
Win Quarter%,75.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.03
Alpha,-,0.1
Correlation,-,11.06%
Treynor Ratio,-,299.89%
