Metric,SPY,Strategy
Risk-Free Rate,0.01%,0.01%
Time in Market,70.0%,0.0%
,,
Total Return,2%,0%
CAGR% (Annual Return),2.39%,0.0%
,,
Sharpe,0.23,-
RoMaD,0.2,-
Corr to Benchmark,1.0,-
Prob. Sharpe Ratio,58.9%,-
Smart Sharpe,-,-
Sortino,0.32,-19.1
Smart Sortino,-,-
Sortino/√2,0.23,-13.51
Smart Sortino/√2,-,-
Omega,0.0,0.0
,,
Max Drawdown,-11.91%,-
Longest DD Days,-,-
Volatility (ann.),15.45%,0.0%
R^2,0.0,0.0
Information Ratio,-0.01,-0.01
Calmar,0.2,-
Skew,-0.27,0.0
Kurtosis,4.44,0.0
,,
Expected Daily%,0.01%,0.0%
Expected Monthly%,0.19%,0.0%
Expected Yearly%,2.36%,0.0%
Daily Value-at-Risk,-1.32%,-
Expected Shortfall (cVaR),-1.32%,-
,,
MTD,-0.71%,0.0%
3M,10.15%,0.0%
6M,1.42%,0.0%
YTD,2.36%,0.0%
1Y,2.36%,0.0%
3Y (ann.),2.39%,0.0%
5Y (ann.),2.39%,0.0%
10Y (ann.),2.39%,0.0%
All-time (ann.),2.39%,0.0%
,,
Best Day,3.84%,0.0%
Worst Day,-4.21%,0.0%
Best Month,9.79%,0.0%
Worst Month,-6.1%,0.0%
Best Year,2.36%,0.0%
Worst Year,2.36%,0.0%
,,
Avg. Drawdown,-2.49%,-
Avg. Drawdown Days,-,-
Recovery Factor,0.3,-
Ulcer Index,0.04,0.0
Serenity Index,0.12,-
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,175.21,0.0
Loss Days,186.79,362.0
Win Days%,48.4%,0.0%
Win Month%,41.67%,0.0%
Win Quarter%,75.0%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,0.0
Alpha,-,0.0
Correlation,-,-
Treynor Ratio,-,0%
