Metric,SPY,Strategy
Risk-Free Rate,0.01%,0.01%
Time in Market,70.0%,1.0%
,,
Total Return,5%,0%
CAGR% (Annual Return),5.97%,0.0%
,,
Sharpe,0.45,-646167847585.58
RoMaD,0.5,-
Corr to Benchmark,1.0,0.08
Prob. Sharpe Ratio,66.59%,84.04%
Smart Sharpe,-,-
Sortino,0.64,-19.1
Smart Sortino,-,-
Sortino/√2,0.45,-13.51
Smart Sortino/√2,-,-
Omega,0.0,0.0
,,
Max Drawdown,-11.91%,-
Longest DD Days,-,-
Volatility (ann.),15.32%,0.0%
R^2,0.01,0.01
Information Ratio,-0.02,-0.02
Calmar,0.5,-
Skew,-0.33,0.0
Kurtosis,5.05,0.0
,,
Expected Daily%,0.02%,0.0%
Expected Monthly%,0.44%,0.0%
Expected Yearly%,5.43%,0.0%
Daily Value-at-Risk,-1.3%,-0.0%
Expected Shortfall (cVaR),-1.3%,-0.0%
,,
MTD,-0.71%,0.0%
3M,10.15%,0.0%
6M,1.42%,0.0%
YTD,5.43%,0.0%
1Y,5.43%,0.0%
3Y (ann.),5.97%,0.0%
5Y (ann.),5.97%,0.0%
10Y (ann.),5.97%,0.0%
All-time (ann.),5.97%,0.0%
,,
Best Day,3.84%,0.0%
Worst Day,-4.21%,0.0%
Best Month,9.79%,0.0%
Worst Month,-6.1%,0.0%
Best Year,5.43%,0.0%
Worst Year,5.43%,0.0%
,,
Avg. Drawdown,-2.27%,-
Avg. Drawdown Days,-,-
Recovery Factor,0.53,-
Ulcer Index,0.04,0.0
Serenity Index,0.21,-
,,
Avg. Up Month,1.24%,0.0%
Avg. Down Month,-,-
Win Days,163.39,334.0
Loss Days,170.61,0.0
Win Days%,48.92%,100.0%
Win Month%,50.0%,100.0%
Win Quarter%,75.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.0
Alpha,-,0.0
Correlation,-,8.35%
Treynor Ratio,-,-118631095858336.98%
