Metric,SPY,Strategy
Risk-Free Rate,0.02%,0.02%
Time in Market,70.0%,47.0%
,,
Total Return,5%,-72%
CAGR% (Annual Return),5.97%,-75.5%
,,
Sharpe,0.45,0.28
RoMaD,0.5,-0.65
Corr to Benchmark,1.0,0.32
Prob. Sharpe Ratio,66.54%,60.93%
Smart Sharpe,0.42,0.26
Sortino,0.64,0.51
Smart Sortino,0.6,0.48
Sortino/√2,0.45,0.36
Smart Sortino/√2,0.42,0.34
Omega,1.17,1.17
,,
Max Drawdown,-11.91%,-115.85%
Longest DD Days,163,163
Volatility (ann.),15.32%,578.41%
R^2,0.1,0.1
Information Ratio,0.01,0.01
Calmar,0.5,-0.65
Skew,-0.33,6.73
Kurtosis,5.05,123.38
,,
Expected Daily%,0.02%,-0.38%
Expected Monthly%,0.44%,-10.14%
Expected Yearly%,5.43%,-72.26%
Daily Value-at-Risk,-1.3%,-49.35%
Expected Shortfall (cVaR),-1.3%,-49.35%
,,
MTD,-0.71%,0.0%
3M,10.15%,0.0%
6M,1.42%,-74.32%
YTD,5.43%,-72.26%
1Y,5.43%,-72.26%
3Y (ann.),5.97%,-75.5%
5Y (ann.),5.97%,-75.5%
10Y (ann.),5.97%,-75.5%
All-time (ann.),5.97%,-75.5%
,,
Best Day,3.84%,419.1%
Worst Day,-4.21%,-232.76%
Best Month,9.79%,20.75%
Worst Month,-6.1%,-64.63%
Best Year,5.43%,-72.26%
Worst Year,5.43%,-72.26%
,,
Avg. Drawdown,-2.27%,-15.48%
Avg. Drawdown Days,30,25
Recovery Factor,0.53,1.28
Ulcer Index,0.04,0.51
Serenity Index,0.21,0.93
,,
Avg. Up Month,2.19%,8.93%
Avg. Down Month,-3.26%,-29.99%
Win Days,163.39,174.54
Loss Days,170.61,159.46
Win Days%,48.92%,52.26%
Win Month%,50.0%,55.56%
Win Quarter%,75.0%,33.33%
Win Year%,100.0%,0.0%
,,
Beta,-,12.02
Alpha,-,0.79
Correlation,-,31.83%
Treynor Ratio,-,-6.02%
