Metric,SPY,Strategy
Risk-Free Rate,0.05%,0.05%
Time in Market,70.0%,48.0%
,,
Total Return,5%,-65%
CAGR% (Annual Return),5.97%,-68.03%
,,
Sharpe,0.45,0.34
RoMaD,0.5,-0.59
Corr to Benchmark,1.0,0.32
Prob. Sharpe Ratio,66.34%,62.92%
Smart Sharpe,0.42,0.32
Sortino,0.64,0.62
Smart Sortino,0.6,0.58
Sortino/√2,0.45,0.44
Smart Sortino/√2,0.42,0.41
Omega,1.2,1.2
,,
Max Drawdown,-11.91%,-115.85%
Longest DD Days,163,163
Volatility (ann.),15.32%,579.58%
R^2,0.1,0.1
Information Ratio,0.02,0.02
Calmar,0.5,-0.59
Skew,-0.33,6.69
Kurtosis,5.05,122.29
,,
Expected Daily%,0.02%,-0.31%
Expected Monthly%,0.44%,-8.3%
Expected Yearly%,5.43%,-64.65%
Daily Value-at-Risk,-1.3%,-49.37%
Expected Shortfall (cVaR),-1.3%,-49.37%
,,
MTD,-0.71%,0.0%
3M,10.15%,0.0%
6M,1.42%,-67.27%
YTD,5.43%,-64.65%
1Y,5.43%,-64.65%
3Y (ann.),5.97%,-68.03%
5Y (ann.),5.97%,-68.03%
10Y (ann.),5.97%,-68.03%
All-time (ann.),5.97%,-68.03%
,,
Best Day,3.84%,419.1%
Worst Day,-4.21%,-232.76%
Best Month,9.79%,20.75%
Worst Month,-6.1%,-64.63%
Best Year,5.43%,-64.65%
Worst Year,5.43%,-64.65%
,,
Avg. Drawdown,-2.27%,-15.48%
Avg. Drawdown Days,30,25
Recovery Factor,0.53,1.54
Ulcer Index,0.04,0.48
Serenity Index,0.21,1.26
,,
Avg. Up Month,2.19%,8.93%
Avg. Down Month,-3.26%,-25.73%
Win Days,163.39,174.45
Loss Days,170.61,159.55
Win Days%,48.92%,52.23%
Win Month%,50.0%,55.56%
Win Quarter%,75.0%,33.33%
Win Year%,100.0%,0.0%
,,
Beta,-,11.92
Alpha,-,1.12
Correlation,-,31.51%
Treynor Ratio,-,-5.43%
