Metric,SPY,Strategy
Risk-Free Rate,0.03%,0.03%
Time in Market,70.0%,45.0%
,,
Total Return,4%,-86%
CAGR% (Annual Return),4.59%,-88.89%
,,
Sharpe,0.37,-0.19
RoMaD,0.39,-0.77
Corr to Benchmark,1.0,0.28
Prob. Sharpe Ratio,63.47%,43.07%
Smart Sharpe,0.37,-0.19
Sortino,0.52,-0.33
Smart Sortino,0.51,-0.33
Sortino/√2,0.36,-0.23
Smart Sortino/√2,0.36,-0.23
Omega,0.88,0.88
,,
Max Drawdown,-11.91%,-115.85%
Longest DD Days,163,163
Volatility (ann.),15.34%,537.66%
R^2,0.08,0.08
Information Ratio,-0.01,-0.01
Calmar,0.39,-0.77
Skew,-0.32,7.96
Kurtosis,5.07,165.23
,,
Expected Daily%,0.01%,-0.6%
Expected Monthly%,0.37%,-16.51%
Expected Yearly%,4.14%,-86.26%
Daily Value-at-Risk,-1.3%,-46.56%
Expected Shortfall (cVaR),-1.3%,-46.56%
,,
MTD,-0.71%,0.0%
3M,10.15%,0.0%
6M,1.42%,-87.28%
YTD,4.14%,-86.26%
1Y,4.14%,-86.26%
3Y (ann.),4.59%,-88.89%
5Y (ann.),4.59%,-88.89%
10Y (ann.),4.59%,-88.89%
All-time (ann.),4.59%,-88.89%
,,
Best Day,3.84%,419.1%
Worst Day,-4.21%,-232.76%
Best Month,9.79%,20.75%
Worst Month,-6.1%,-69.22%
Best Year,4.14%,-86.26%
Worst Year,4.14%,-86.26%
,,
Avg. Drawdown,-2.27%,-15.48%
Avg. Drawdown Days,30,25
Recovery Factor,0.43,0.78
Ulcer Index,0.04,0.57
Serenity Index,0.16,-0.42
,,
Avg. Up Month,2.43%,11.16%
Avg. Down Month,-3.26%,-37.83%
Win Days,161.18,168.88
Loss Days,169.82,162.12
Win Days%,48.7%,51.02%
Win Month%,45.45%,50.0%
Win Quarter%,75.0%,33.33%
Win Year%,100.0%,0.0%
,,
Beta,-,9.69
Alpha,-,-1.55
Correlation,-,27.65%
Treynor Ratio,-,-8.9%
