time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2005-01-03 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2005-01-03 09:30:00-05:00,buy,fill,5.0062163488230045,SPY,stock,,0.0,,121.55999755859375,market,1,0.0
2005-02-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2005-02-01 09:30:00-05:00,buy,fill,5.335149140459812,SPY,stock,,0.0,,118.25,market,1,0.0
2005-03-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2005-03-01 09:30:00-05:00,buy,fill,5.341460372290723,SPY,stock,,0.0,,120.81999969482422,market,1,0.0
2005-04-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2005-04-01 09:30:00-05:00,buy,fill,5.438799556147013,SPY,stock,,0.0,,118.62999725341797,market,1,0.0
2005-05-02 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2005-05-02 10:30:00-04:00,buy,fill,5.621082209813257,SPY,stock,,0.0,,116.06999969482422,market,1,0.0
2005-06-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2005-06-01 10:30:00-04:00,buy,fill,5.3406049933387765,SPY,stock,,0.0,,119.5199966430664,market,1,0.0
2005-07-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2005-07-01 10:30:00-04:00,buy,fill,5.568769671610598,SPY,stock,,0.0,,119.44999694824219,market,1,0.0
2005-08-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2005-08-01 10:30:00-04:00,buy,fill,5.154998845891972,SPY,stock,,0.0,,123.83000183105469,market,1,0.0
2005-09-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2005-09-01 10:30:00-04:00,buy,fill,5.131618717753858,SPY,stock,,0.0,,122.5199966430664,market,1,0.0
2005-10-03 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2005-10-03 10:30:00-04:00,buy,fill,5.035892087659312,SPY,stock,,0.0,,122.95999908447266,market,1,0.0
2005-11-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2005-11-01 09:30:00-05:00,buy,fill,5.12165329706758,SPY,stock,,0.0,,120.58000183105469,market,1,0.0
2005-12-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2005-12-01 09:30:00-05:00,buy,fill,4.807801645518573,SPY,stock,,0.0,,126.0199966430664,market,1,0.0
2006-02-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2006-02-01 09:30:00-05:00,buy,fill,4.650596294548828,SPY,stock,,0.0,,127.81999969482422,market,1,0.0
2006-03-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2006-03-01 09:30:00-05:00,buy,fill,4.726019339466526,SPY,stock,,0.0,,128.60000610351562,market,1,0.0
2006-04-03 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2006-04-03 10:30:00-04:00,buy,fill,4.688867384125523,SPY,stock,,0.0,,130.07000732421875,market,1,0.0
2006-05-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2006-05-01 10:30:00-04:00,buy,fill,4.514523169438577,SPY,stock,,0.0,,131.47000122070312,market,1,0.0
2006-06-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2006-06-01 10:30:00-04:00,buy,fill,4.672122428745316,SPY,stock,,0.0,,127.37999725341797,market,1,0.0
2006-07-03 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2006-07-03 10:30:00-04:00,buy,fill,4.630096128649582,SPY,stock,,0.0,,127.43000030517578,market,1,0.0
2006-08-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2006-08-01 10:30:00-04:00,buy,fill,4.908651601647943,SPY,stock,,0.0,,127.33999633789062,market,1,0.0
2006-09-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2006-09-01 10:30:00-04:00,buy,fill,4.6392507644887,SPY,stock,,0.0,,131.13999938964844,market,1,0.0
2006-10-02 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2006-10-02 10:30:00-04:00,buy,fill,4.788767450051934,SPY,stock,,0.0,,133.5399932861328,market,1,0.0
2006-11-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2006-11-01 09:30:00-05:00,buy,fill,4.366972270623399,SPY,stock,,0.0,,138.22000122070312,market,1,0.0
2006-12-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2006-12-01 09:30:00-05:00,buy,fill,4.400926530743933,SPY,stock,,0.0,,140.52999877929688,market,1,0.0
2007-02-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2007-02-01 09:30:00-05:00,buy,fill,4.245897566741717,SPY,stock,,0.0,,144.14999389648438,market,1,0.0
2007-03-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2007-03-01 09:30:00-05:00,buy,fill,4.405804791798492,SPY,stock,,0.0,,139.33999633789062,market,1,0.0
2007-04-02 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2007-04-02 10:30:00-04:00,buy,fill,4.433000434907154,SPY,stock,,0.0,,142.16000366210938,market,1,0.0
2007-05-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2007-05-01 10:30:00-04:00,buy,fill,4.2263601828707325,SPY,stock,,0.0,,148.4199981689453,market,1,0.0
2007-06-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2007-06-01 10:30:00-04:00,buy,fill,3.9896031032916808,SPY,stock,,0.0,,153.8800048828125,market,1,0.0
2007-07-02 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2007-07-02 10:30:00-04:00,buy,fill,4.216770855914785,SPY,stock,,0.0,,150.8699951171875,market,1,0.0
2007-08-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2007-08-01 10:30:00-04:00,buy,fill,4.4399324916136225,SPY,stock,,0.0,,145.17999267578125,market,1,0.0
2007-10-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2007-10-01 10:30:00-04:00,buy,fill,4.631286278653529,SPY,stock,,0.0,,152.60000610351562,market,1,0.0
2007-11-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2007-11-01 10:30:00-04:00,buy,fill,4.927821913809298,SPY,stock,,0.0,,153.2899932861328,market,1,0.0
2007-12-03 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2007-12-03 09:30:00-05:00,buy,fill,5.531739505311268,SPY,stock,,0.0,,148.19000244140625,market,1,0.0
2008-02-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2008-02-01 09:30:00-05:00,buy,fill,6.008589034466821,SPY,stock,,0.0,,137.94000244140625,market,1,0.0
2008-03-03 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2008-03-03 09:30:00-05:00,buy,fill,6.484256411043126,SPY,stock,,0.0,,133.13999938964844,market,1,0.0
2008-04-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2008-04-01 10:30:00-04:00,buy,fill,6.620816554242565,SPY,stock,,0.0,,133.61000061035156,market,1,0.0
2008-05-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2008-05-01 10:30:00-04:00,buy,fill,6.768594228779913,SPY,stock,,0.0,,138.3800048828125,market,1,0.0
2008-06-02 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2008-06-02 10:30:00-04:00,buy,fill,7.14389515513108,SPY,stock,,0.0,,139.8300018310547,market,1,0.0
2008-07-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
